HET Code,Smiles,Molecular Weight
ENF,CCCCCCCCCCCCCC(=O)NCCCCCCCCCC(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NCCC1CCCCC1,722.09646
ENP,OC1OC(COP(=O)(O)OP(=O)(O)OCC2OC(C(OP(=O)(O)O)C2O)n3cnc4c3ncn5ccnc45)C(O)C1O,663.31704
ENX,CC\C=C\C(OC(=O)N)C(Cl)C(O)CC(=O)C(O)C(O)C(C)\C(=C\C=C\C=C(/C)\C=C\C=C\C(=O)OC1CC(CCC1O)C(=O)O)\Cl,702.6165
EPH,CCC\C=C\C\C=C\CCCCCCCC(=O)OC(COC(=O)CCCCCC\C=C\CC\C=C\CC\C=C\C)COP(=O)(O)OCCN,709.93288
EPU,CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(C(O)C2O)N3C=CC(=O)NC3=O)OC(CO)C(O)C1OC(=C)C(=O)O,677.40048
EPZ,CC(OC1C(O)C(CO)OC(OP(=O)(O)OP(=O)(O)OCC2OC(C(O)C2O)N3C=CC(=O)NC3=O)C1NC(=O)C)C(=O)O,679.41636
EQM,COC(=O)NC(C(=O)NN(CCCC(O)(Cc1ccccc1)C(=O)NC(C(=O)NCC=C)C(C)(C)C)Cc2ccc(Br)cc2)C(C)(C)C,730.73198
ERA,CCCCCCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCC\C=C/CCCCCC\C=C\C=C\CCCCC,630.0391
ETB,CNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(C(O)C1OP(=O)(O)O)n2cnc3c(N)ncnc23,721.44254
E87,CCCCCCCCCCCCCC(=O)OCC(CSCC(CO)NC(=O)CCCCCCCCC)OC(=O)CCCCCCCCCCCCC,756.2138
ECM,Cc1cc(OCCCc2c3C(=O)N(CCCn3c4c(c(Cl)ccc24)c5c(C)nn(C)c5C)c6cccc7c(cn(C)c67)C(=O)O)cc(C)c1Cl,712.66406
ECY,Cc1cc(OCCCc2c3C(=O)N(Cc4cccc(c4)C(=O)O)CCCn3c5c(cccc25)c6c(C)nn(C)c6C)cc(C)c1Cl,639.18296
EE1,NC(=O)C1=CN(C=CC1C(CC(=O)O)C(=O)C(=O)O)C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(C(OP(=O)(O)O)C3O)n4cnc5c(N)ncnc45)C(O)C2O,889.50314
EE7,Cc1c(CN2CCC(CC2)Nc3ncnc4sc(CC(F)(F)F)cc34)ccc5c1cc(C#N)n5CCN6CCN(CC6)C(=O)CF,656.73985
EEJ,COC(=O)Nc1ccc(cc1)c2cc(nnc2Cl)C(CC3CCCN(C3)C(=O)C)NC(=O)\C=C\c4cc(Cl)ccc4n5cnnn5,664.54174
EGY,CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCC)COP(=O)(O)OCC[N+](C)(C)C,636.86074
EM4,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCC(=O)NCCCCCCc2ccccc2,907.31016
EL7,CCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCC(=O)NCCCCCCc2ccccc2,781.07094
ELG,CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCC(=O)Nc2cccc(CCCCC)c2,640.80514
ELM,CCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCC(=O)NCCCCCCc2ccccc2,710.93804
ELS,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCC(=O)Nc2ccc(CCCCC)cc2,893.28358
EMG,CCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCC(=O)NCCCCCCc2ccccc2,823.15068
EQG,CC(C)CC(NC(=O)C(NC(=O)C(CCONC(=N)N)NC(=O)OCc1ccccc1)C2CCCCC2)C(O)CC(=O)NCCc3ccccc3,709.8753
EUJ,CCCCCCCC(=O)OCC(COP(=O)(O)OC1C(O)C(OP(=O)(O)O)C(O)C(OP(=O)(O)O)C1O)OC(=O)CCCCCCC,746.56644
